,v_in,v_out
243,23459.0,3347.0
244,23220.0,3350.0
245,22979.0,3346.0
246,22747.0,3351.0
247,22976.0,3349.0
248,23458.0,3349.0
249,23702.0,3351.0
250,23960.0,3348.0
251,24217.0,3348.0
252,24485.0,3340.0
253,24754.0,3336.0
254,25026.0,3330.0
255,25308.0,3328.0
256,25598.0,3329.0
257,25890.0,3331.0
258,26190.0,3329.0
259,26496.0,3324.0
260,26810.0,3316.0
261,27130.0,3304.0
262,27456.0,3299.0
263,27795.0,3293.0
264,28143.0,3281.0
265,28493.0,3281.0
266,28853.0,3290.0
267,29232.0,3294.0
268,29608.0,3270.0
269,30003.0,3261.0
270,30403.0,3243.0
271,30814.0,3232.0
272,31243.0,3232.0
273,31679.0,3234.0
274,32126.0,3236.0
275,32592.0,3225.0
276,33067.0,3204.0
277,33558.0,3176.0
278,34051.0,3132.0
279,34576.0,3094.0
280,35108.0,3058.0
281,35653.0,2985.0
282,36210.0,2857.0
283,36784.0,2683.0
284,37365.0,2375.0
285,37939.0,2134.0
286,38506.0,1870.0
287,39102.0,1616.0
288,40359.0,1151.0
289,41008.0,827.0
290,41692.0,528.0
291,42408.0,227.0
292,42875.0,37.0
293,42992.0,35.0
294,42992.0,35.0
295,42994.0,35.0
296,42990.0,35.0
297,42990.0,35.0
298,42992.0,35.0
299,42961.0,34.0
300,42960.0,35.0
301,42960.0,33.0
302,42959.0,31.0
303,42962.0,31.0
304,42960.0,33.0
305,42959.0,31.0
306,42959.0,29.0
307,42960.0,31.0
308,42960.0,35.0
309,42962.0,31.0
310,42959.0,32.0
311,42959.0,33.0
312,42961.0,31.0
313,42961.0,35.0
314,42958.0,34.0
315,42959.0,35.0
316,42941.0,38.0
317,42943.0,35.0
318,42942.0,34.0
319,42945.0,36.0
320,42942.0,33.0
321,42119.0,482.0
322,41710.0,520.0
323,41006.0,806.0
324,40344.0,1089.0
325,39712.0,1339.0
326,39103.0,1612.0
327,38510.0,1872.0
328,37930.0,2118.0
329,37365.0,2384.0
330,36783.0,2621.0
331,36210.0,2851.0
332,35653.0,2990.0
333,34573.0,3102.0
334,34055.0,3140.0
335,33556.0,3177.0
336,33063.0,3210.0
337,32590.0,3228.0
338,32121.0,3235.0
339,31680.0,3228.0
340,31240.0,3230.0
341,30814.0,3230.0
342,30402.0,3240.0
343,29998.0,3267.0
344,29607.0,3282.0
345,29230.0,3286.0
346,28855.0,3284.0
347,28494.0,3278.0
348,28144.0,3276.0
349,27797.0,3279.0
350,27457.0,3298.0
351,27131.0,3302.0
352,26811.0,3309.0
353,26494.0,3313.0
354,26189.0,3308.0
355,25892.0,3300.0
356,25594.0,3309.0
357,25306.0,3312.0
358,25027.0,3323.0
359,24754.0,3326.0
360,24484.0,3325.0
361,24220.0,3331.0
362,23962.0,3327.0
363,23703.0,3324.0
364,23456.0,3324.0
365,23222.0,3326.0
366,22977.0,3329.0
367,22745.0,3336.0
368,22979.0,3333.0
369,23220.0,3332.0
370,23589.0,6576.0
371,23842.0,6567.0
372,24102.0,6564.0
373,24366.0,6566.0
374,24630.0,6562.0
375,25183.0,6566.0
376,25462.0,6575.0
377,25757.0,6559.0
378,26048.0,6545.0
379,26349.0,6543.0
380,26665.0,6534.0
381,26982.0,6539.0
382,27309.0,6547.0
383,27644.0,6543.0
384,27983.0,6549.0
385,28333.0,6540.0
386,28693.0,6522.0
387,29058.0,6509.0
388,29431.0,6488.0
389,29812.0,6488.0
390,30222.0,6495.0
391,30626.0,6507.0
392,31045.0,6514.0
393,31480.0,6504.0
394,31920.0,6471.0
395,32374.0,6451.0
396,32846.0,6426.0
397,33322.0,6426.0
398,33825.0,6428.0
399,34337.0,6429.0
400,34872.0,6433.0
401,35420.0,6424.0
402,35979.0,6391.0
403,36558.0,6360.0
404,37158.0,6293.0
405,37780.0,6265.0
406,38420.0,6242.0
407,39079.0,6231.0
408,39762.0,6195.0
409,40473.0,6092.0
410,41202.0,5927.0
411,41922.0,5573.0
412,42639.0,5070.0
413,43381.0,4527.0
414,44157.0,3995.0
415,44969.0,3459.0
416,45779.0,2867.0
417,46588.0,2296.0
418,47352.0,1750.0
419,48136.0,1194.0
420,48950.0,574.0
421,49681.0,39.0
422,49861.0,38.0
423,50315.0,38.0
424,339.0,40.0
425,50340.0,40.0
426,50341.0,35.0
427,50340.0,40.0
428,50342.0,33.0
429,50340.0,37.0
430,50341.0,37.0
431,50342.0,38.0
432,50338.0,36.0
433,50339.0,40.0
434,50339.0,38.0
435,50208.0,134.0
436,49089.0,962.0
437,48286.0,1566.0
438,47519.0,2161.0
439,46716.0,2773.0
440,45873.0,3438.0
441,45050.0,4054.0
442,44251.0,4638.0
443,43481.0,5193.0
444,42731.0,5724.0
445,41990.0,6154.0
446,41248.0,6389.0
447,40521.0,6533.0
448,39816.0,6633.0
449,39135.0,6689.0
450,38471.0,6734.0
451,37817.0,6732.0
452,37197.0,6738.0
453,36598.0,6756.0
454,36013.0,6790.0
455,35453.0,6835.0
456,34907.0,6868.0
457,34373.0,6879.0
458,33867.0,6873.0
459,33364.0,6863.0
460,32877.0,6854.0
461,32401.0,6866.0
462,31949.0,6890.0
463,31513.0,6923.0
464,31079.0,6941.0
465,30658.0,6939.0
466,29844.0,6918.0
467,29460.0,6925.0
468,29086.0,6936.0
469,28716.0,6955.0
470,28353.0,6964.0
471,28008.0,6978.0
472,27667.0,6978.0
473,27330.0,6965.0
474,27004.0,6962.0
475,26685.0,6962.0
476,26375.0,6968.0
477,26075.0,7098.0
478,25781.0,7109.0
479,25488.0,7117.0
480,25204.0,7106.0
481,24924.0,7100.0
482,24652.0,7097.0
483,24386.0,7102.0
484,24126.0,7111.0
485,23868.0,7110.0
486,23613.0,7112.0
487,23372.0,7117.0
488,23127.0,7121.0
489,22890.0,7124.0
490,23127.0,7113.0
491,23372.0,7112.0
492,23615.0,7111.0
493,23867.0,7111.0
494,24125.0,7120.0
495,24385.0,7120.0
496,24649.0,7102.0
497,24925.0,7100.0
498,25204.0,7091.0
499,25488.0,7087.0
500,25785.0,7096.0
501,26071.0,7094.0
502,26381.0,7099.0
503,26692.0,7099.0
504,27013.0,7087.0
505,27336.0,7072.0
506,27669.0,7055.0
507,28015.0,7054.0
508,28359.0,7049.0
509,28724.0,7058.0
510,29467.0,7067.0
511,29853.0,7057.0
512,30252.0,7042.0
513,30663.0,7012.0
514,31080.0,6994.0
515,31515.0,7004.0
516,31956.0,6993.0
517,32416.0,7016.0
518,32893.0,7024.0
519,33380.0,6999.0
520,33875.0,6984.0
521,34381.0,6955.0
522,34911.0,6916.0
523,35456.0,6893.0
524,36025.0,6892.0
525,36615.0,6906.0
526,37214.0,6896.0
527,37834.0,6873.0
528,38479.0,6821.0
529,39142.0,6761.0
530,39828.0,6676.0
531,40529.0,6602.0
532,41261.0,6486.0
533,42007.0,6298.0
534,42752.0,5892.0
535,43504.0,5339.0
536,44267.0,4757.0
537,45062.0,4121.0
538,45882.0,3486.0
539,46719.0,2833.0
540,47548.0,2230.0
541,48314.0,1645.0
542,49112.0,1037.0
543,49961.0,374.0
544,50418.0,38.0
545,50419.0,37.0
546,50421.0,37.0
547,50421.0,39.0
548,50420.0,38.0
549,50421.0,34.0
550,50421.0,35.0
551,50419.0,39.0
552,50420.0,40.0
553,50420.0,35.0
554,50423.0,40.0
555,50419.0,38.0
556,50176.0,225.0
557,49113.0,1039.0
558,48320.0,1649.0
559,47552.0,2240.0
560,46724.0,2850.0
561,45878.0,3492.0
562,45058.0,4094.0
563,44265.0,4703.0
564,43491.0,5321.0
565,42748.0,5904.0
566,42004.0,6339.0
567,41268.0,6527.0
568,40534.0,6632.0
569,39823.0,6688.0
570,39127.0,6730.0
571,38468.0,6788.0
572,37833.0,6843.0
573,37219.0,6900.0
574,36614.0,6936.0
575,36022.0,6929.0
576,35455.0,6915.0
577,34916.0,6916.0
578,34385.0,6931.0
579,33867.0,6961.0
580,33371.0,6996.0
581,32885.0,7018.0
582,32420.0,7022.0
583,31963.0,7012.0
584,31515.0,7001.0
585,31073.0,7002.0
586,30255.0,7032.0
587,29857.0,7064.0
588,29467.0,7069.0
589,29091.0,7072.0
590,28716.0,7055.0
591,28360.0,7052.0
592,28013.0,7050.0
593,27668.0,7055.0
594,27334.0,7076.0
595,27013.0,7087.0
596,26696.0,7108.0
597,26381.0,7099.0
598,26075.0,7085.0
599,25777.0,7089.0
600,25485.0,7087.0
601,25205.0,7100.0
602,24925.0,7110.0
603,24654.0,7114.0
604,24382.0,7109.0
605,24124.0,7121.0
606,23869.0,7119.0
607,23615.0,7115.0
608,23371.0,7119.0
609,23125.0,7114.0
610,22890.0,7127.0
611,23128.0,7123.0
612,23372.0,7119.0
613,23613.0,7114.0
614,23866.0,7113.0
615,24124.0,7101.0
616,24385.0,7094.0
617,24650.0,7098.0
618,24922.0,7103.0
619,25205.0,7100.0
620,25487.0,7108.0
621,25779.0,7097.0
622,26072.0,7087.0
623,26383.0,7074.0
624,26696.0,7071.0
625,27011.0,7069.0
626,27669.0,7084.0
627,28019.0,7084.0
628,28362.0,7080.0
629,28722.0,7057.0
630,29088.0,7037.0
631,29464.0,7023.0
632,29855.0,7027.0
633,30256.0,7032.0
634,30660.0,7040.0
635,31083.0,7036.0
636,31519.0,7042.0
637,31968.0,7009.0
638,32417.0,6980.0
639,32882.0,6951.0
640,33371.0,6946.0
641,33874.0,6948.0
642,34393.0,6970.0
643,34921.0,6972.0
644,35456.0,6969.0
645,36026.0,6932.0
646,36616.0,6880.0
647,37217.0,6840.0
648,37825.0,6808.0
649,38472.0,6788.0
650,39142.0,6773.0
651,39835.0,6735.0
652,40536.0,6677.0
653,41270.0,6531.0
654,42004.0,6275.0
655,42743.0,5827.0
656,43494.0,5284.0
657,44253.0,4669.0
658,45060.0,4123.0
659,45883.0,3484.0
660,46721.0,2830.0
661,47534.0,2201.0
662,48322.0,1648.0
663,49120.0,1045.0
664,49979.0,345.0
665,50383.0,37.0
666,50522.0,39.0
667,50427.0,36.0
668,50429.0,39.0
669,50426.0,36.0
670,50427.0,32.0
671,50429.0,35.0
672,50431.0,35.0
673,50427.0,38.0
674,50429.0,39.0
675,50428.0,37.0
676,50429.0,38.0
677,50421.0,281.0
678,49121.0,1052.0
679,48302.0,1611.0
680,47528.0,2188.0
681,46718.0,2837.0
682,45884.0,3489.0
683,45064.0,4153.0
684,44260.0,4717.0
685,43495.0,5334.0
686,42743.0,5843.0
687,42002.0,6243.0
688,41261.0,6476.0
689,40527.0,6640.0
690,39826.0,6737.0
691,39144.0,6798.0
692,38478.0,6834.0
693,37829.0,6828.0
694,37204.0,6832.0
695,36608.0,6865.0
696,36023.0,6883.0
697,35462.0,6937.0
698,34917.0,6965.0
699,34388.0,6975.0
700,33873.0,6979.0
701,33371.0,6960.0
702,32880.0,6960.0
703,32412.0,6970.0
704,31956.0,6993.0
705,31520.0,7025.0
706,31082.0,7054.0
707,30252.0,7036.0
708,29852.0,7026.0
709,29464.0,7024.0
710,29088.0,7043.0
711,28716.0,7058.0
712,28357.0,7074.0
713,28017.0,7086.0
714,27674.0,7086.0
715,27335.0,7075.0
716,27006.0,7063.0
717,26691.0,7068.0
718,26381.0,7080.0
719,26076.0,7092.0
720,25781.0,7105.0
721,25485.0,7112.0
722,25203.0,7103.0
723,24925.0,7105.0
724,24651.0,7102.0
725,24382.0,7108.0
726,24122.0,7111.0
727,23865.0,7117.0
728,23617.0,7119.0
729,23373.0,7122.0
730,23124.0,7114.0
731,22887.0,7123.0
732,23127.0,7113.0
733,23374.0,7114.0
734,23618.0,7115.0
735,23864.0,7112.0
736,24119.0,7109.0
737,24386.0,7112.0
738,24651.0,7108.0
739,24924.0,7097.0
740,25204.0,7087.0
741,25484.0,7084.0
742,25778.0,7086.0
743,26073.0,7093.0
744,26382.0,7101.0
745,26692.0,7100.0
746,27008.0,7085.0
747,27670.0,7060.0
748,28016.0,7050.0
749,28356.0,7049.0
750,28719.0,7047.0
751,29093.0,7058.0
752,29470.0,7070.0
753,29854.0,7063.0
754,30252.0,7037.0
755,30660.0,7015.0
756,31077.0,6996.0
757,31513.0,6988.0
758,31962.0,7002.0
759,32416.0,7013.0
760,32890.0,7015.0
761,33372.0,7001.0
762,33874.0,6976.0
763,34389.0,6944.0
764,34916.0,6910.0
765,35458.0,6896.0
766,36019.0,6895.0
767,36613.0,6894.0
768,37225.0,6891.0
769,37843.0,6870.0
770,38481.0,6831.0
771,39136.0,6760.0
772,39826.0,6666.0
773,40530.0,6591.0
774,41267.0,6478.0
775,42006.0,6284.0
776,42743.0,5851.0
777,43490.0,5313.0
778,44264.0,4701.0
779,45058.0,4067.0
780,45878.0,3456.0
781,46711.0,2786.0
782,47527.0,2193.0
783,48306.0,1623.0
784,49100.0,1003.0
785,49963.0,334.0
786,50361.0,36.0
787,50365.0,37.0
788,50364.0,40.0
789,50363.0,39.0
790,50365.0,37.0
791,50364.0,35.0
792,50363.0,36.0
793,50414.0,64.0
794,51167.0,38.0
795,51165.0,38.0
796,51168.0,39.0
797,51169.0,40.0
798,50159.0,867.0
799,49331.0,1555.0
800,48548.0,2192.0
801,47710.0,2864.0
802,46835.0,3549.0
803,46005.0,4233.0
804,45182.0,4886.0
805,44378.0,5530.0
806,43608.0,6185.0
807,42852.0,6742.0
808,42097.0,7051.0
809,41354.0,7191.0
810,40613.0,7260.0
811,39890.0,7299.0
812,39195.0,7331.0
813,38534.0,7384.0
814,37898.0,7452.0
815,37283.0,7502.0
816,36677.0,7537.0
817,36079.0,7537.0
818,35511.0,7524.0
819,34965.0,7518.0
820,34438.0,7536.0
821,33921.0,7559.0
822,33420.0,7609.0
823,32933.0,7625.0
824,32464.0,7623.0
825,32004.0,7623.0
826,31562.0,7611.0
827,31123.0,7615.0
828,30698.0,7608.0
829,30292.0,7636.0
830,29894.0,7667.0
831,29506.0,7677.0
832,29129.0,7676.0
833,28756.0,7666.0
834,28395.0,7658.0
835,27703.0,7658.0
836,27369.0,7686.0
837,27040.0,7697.0
838,26721.0,7703.0
839,26411.0,7703.0
840,26106.0,7696.0
841,25805.0,7694.0
842,25515.0,7700.0
843,25227.0,7699.0
844,24947.0,7715.0
845,24677.0,7729.0
846,24410.0,7725.0
847,24148.0,7726.0
848,23892.0,7719.0
849,23639.0,7723.0
850,23392.0,7730.0
851,23149.0,7734.0
852,22913.0,7740.0
853,23147.0,7734.0
854,23394.0,7730.0
855,23642.0,7729.0
856,23895.0,7729.0
857,24150.0,7725.0
858,24407.0,7724.0
859,24675.0,7712.0
860,24950.0,7719.0
861,25231.0,7729.0
862,25520.0,7729.0
863,25807.0,7715.0
864,26103.0,7696.0
865,26408.0,7687.0
866,26723.0,7687.0
867,27041.0,7679.0
868,27368.0,7692.0
869,27702.0,7692.0
870,28048.0,7697.0
871,28397.0,7691.0
872,28757.0,7671.0
873,29127.0,7658.0
874,29498.0,7630.0
875,29886.0,7644.0
876,30294.0,7640.0
877,31123.0,7667.0
878,31561.0,7651.0
879,32003.0,7624.0
880,32462.0,7596.0
881,32934.0,7568.0
882,33416.0,7570.0
883,33919.0,7555.0
884,34438.0,7571.0
885,34978.0,7580.0
886,35522.0,7565.0
887,36082.0,7536.0
888,36667.0,7492.0
889,37270.0,7437.0
890,37898.0,7407.0
891,38545.0,7394.0
892,39206.0,7386.0
893,39895.0,7367.0
894,40613.0,7294.0
895,41355.0,7185.0
896,42099.0,7023.0
897,42851.0,6689.0
898,43602.0,6137.0
899,44378.0,5523.0
900,45259.0,5403.0
901,46082.0,4745.0
902,46918.0,4040.0
903,47782.0,3292.0
904,48666.0,2513.0
905,49461.0,1831.0
906,50260.0,1144.0
907,51094.0,444.0
908,51584.0,38.0
909,51585.0,40.0
910,51586.0,37.0
911,51585.0,37.0
