,voltage,current,power,label
9062,28205.0,10439.0,294.431995,90
9063,27528.0,10440.0,287.39232,90
9064,26876.0,10500.0,282.198,90
9065,26246.0,10477.0,274.979342,90
9066,25654.0,10490.0,269.11046,90
9067,25077.0,10500.0,263.3085,90
9068,24798.0,10372.0,257.204856,91
9069,25072.0,10384.0,260.347648,91
9070,25650.0,10387.0,266.42655,91
9071,26545.0,10340.0,274.4753,91
9072,26861.0,10338.0,277.689018,91
9073,27520.0,10335.0,284.4192,91
9074,27862.0,10359.0,288.622458,91
9075,28204.0,10362.0,292.249848,91
9076,28553.0,10351.0,295.552103,91
9077,28921.0,10324.0,298.580404,91
9078,29295.0,10293.0,301.533435,91
9079,29677.0,10276.0,304.960852,91
9080,30068.0,10274.0,308.918632,91
9081,30474.0,10284.0,313.394616,91
9082,30888.0,10299.0,318.115512,91
9083,31324.0,10301.0,322.668524,91
9084,31764.0,10296.0,327.042144,91
9085,32213.0,10264.0,330.634232,91
9086,33141.0,10187.0,337.607367,91
9087,34151.0,10186.0,347.862086,91
9088,35771.0,10203.0,364.971513,91
9089,36346.0,10157.0,369.166322,91
9090,38176.0,10027.0,382.790752,91
9091,38818.0,10000.0,388.18,91
9092,40215.0,9968.0,400.86312,91
9093,40947.0,9928.0,406.521816,91
9094,42449.0,9727.0,412.901423,91
9095,44037.0,9158.0,403.290846,91
9096,44831.0,8545.0,383.080895,91
9097,45778.0,8832.0,404.311296,91
9098,46587.0,7958.0,370.739346,91
9099,47413.0,7061.0,334.783193,91
9100,48271.0,6093.0,294.115203,91
9101,49145.0,5092.0,250.24634,91
9102,50046.0,4058.0,203.086668,91
9103,50968.0,3015.0,153.66852,91
9104,51822.0,2062.0,106.856964,91
9105,51837.0,2074.0,107.509938,91
9106,24828.0,11201.0,278.098428,92
9107,25688.0,11181.0,287.217528,92
9108,26278.0,11185.0,293.91943,92
9109,26913.0,11203.0,301.506339,92
9110,27237.0,11182.0,304.564134,92
9111,27900.0,11131.0,310.5549,92
9112,28605.0,11110.0,317.80155,92
9113,29354.0,11172.0,327.942888,92
9114,30125.0,11137.0,335.502125,92
9115,30532.0,11132.0,339.882224,92
9116,31383.0,11045.0,346.625235,92
9117,31814.0,11060.0,351.86284,92
9118,32737.000000000004,11097.0,363.282489,92
9119,33220.0,11071.0,367.77862,92
9120,33725.0,11059.0,372.964775,92
9121,34225.0,11043.0,377.946675,92
9122,34741.0,10978.0,381.386698,92
9123,35271.0,10921.0,385.194591,92
9124,35829.0,10887.0,390.070323,92
9125,36415.0,10886.0,396.41369,92
9126,37021.0,10903.0,403.639963,92
9127,37633.0,10914.0,410.726562,92
9128,38264.0,10892.0,416.771488,92
9129,39601.0,10760.0,426.10676,92
9130,40302.0,10689.0,430.788078,92
9131,41023.0,10619.0,435.623237,92
9132,41769.0,10556.0,440.913564,92
9133,42543.0,10491.0,446.318613,92
9134,43349.0,10401.0,450.872949,92
9135,44175.0,10182.0,449.78985,92
9136,44984.0,9613.0,432.431192,92
9137,45778.0,8866.0,405.867748,92
9138,46567.0,7902.0,367.972434,92
9139,47391.0,6884.0,326.239644,92
9140,48252.0,5952.0,287.195904,92
9141,50036.0,4023.0,201.294828,92
9142,50958.0,2986.0,152.160588,92
9143,52614.0,1171.0,61.610994,92
9144,51811.0,2030.0,105.17633,93
9145,50035.0,4020.0,201.1407,93
9146,48264.0,6075.0,293.2038,93
9147,45771.0,8771.0,401.457441,93
9148,44142.0,10100.0,445.8342,93
9149,43344.0,10370.0,449.47728,93
9150,42560.0,10524.0,447.90144,93
9151,41789.0,10666.0,445.721474,93
9152,41027.0,10683.0,438.291441,93
9153,40289.0,10691.0,430.729699,93
9154,39584.0,10706.0,423.786304,93
9155,38911.0,10767.0,418.954737,93
9156,38269.0,10843.0,414.950767,93
9157,37640.0,10926.0,411.25464,93
9158,37018.0,10950.0,405.3471,93
9159,35837.0,10911.0,391.017507,93
9160,34742.0,10949.0,380.390158,93
9161,33704.0,11007.0,370.979928,93
9162,32740.000000000004,11060.0,362.1044,93
9163,32275.0,11053.0,356.735575,93
9164,31821.0,11050.0,351.62205,93
9165,31373.0,11028.0,345.981444,93
9166,30939.0,11060.0,342.18534,93
9167,30530.0,11065.0,337.81445,93
9168,30131.0,11101.0,334.484231,93
9169,29734.0,11134.0,331.058356,93
9170,29352.0,11163.0,327.656376,93
9171,28965.0,11127.0,322.293555,93
9172,28600.0,11088.0,317.1168,93
9173,28249.0,11095.0,313.422655,93
9174,27905.0,11106.0,309.91293,93
9175,27565.0,11139.0,307.046535,93
9176,26906.0,11168.0,300.486208,93
9177,26283.0,11163.0,293.397129,93
9178,25980.0,11154.0,289.78092,93
9179,25110.0,11176.0,280.62936,93
9180,24828.0,11166.0,277.229448,94
9181,25397.0,11180.0,283.93846,94
9182,25688.0,11184.0,287.294592,94
9183,26279.0,11154.0,293.115966,94
9184,26586.0,11120.0,295.63632,94
9185,26905.0,11130.0,299.45265,94
9186,27231.0,11121.0,302.835951,94
9187,27564.0,11133.0,306.870012,94
9188,27905.0,11149.0,311.112845,94
9189,28252.0,11144.0,314.840288,94
9190,28600.0,11138.0,318.5468,94
9191,28973.0,11106.0,321.774138,94
9192,29351.0,11075.0,325.062325,94
9193,29724.0,11071.0,329.074404,94
9194,30120.0,11074.0,333.54888,94
9195,30948.0,11084.0,343.027632,94
9196,31824.0,11094.0,353.055456,94
9197,33205.0,10979.0,364.557695,94
9198,33708.0,10909.0,367.720572,94
9199,34744.0,10995.0,382.01028,94
9200,35280.0,11020.0,388.7856,94
9201,35837.0,10998.0,394.135326,94
9202,36425.0,10959.0,399.181575,94
9203,37020.0,10895.0,403.3329,94
9204,37629.0,10842.0,407.973618,94
9205,38259.0,10809.0,413.541531,94
9206,38906.0,10787.0,419.679022,94
9207,39587.0,10774.0,426.510338,94
9208,40306.0,10779.0,434.458374,94
9209,41041.0,10733.0,440.493053,94
9210,41789.0,10658.0,445.387162,94
9211,42554.0,10490.0,446.39146,94
9212,43340.0,10356.0,448.82904,94
9213,44988.0,9634.0,433.414392,94
9214,46598.0,8052.0,375.207096,94
9215,47425.0,7150.0,339.08875,94
9216,49166.0,5195.0,255.41737,94
9217,50066.0,4171.0,208.825286,94
9218,51888.0,2156.0,111.870528,94
9219,53453.0,384.0,20.525952,94
9220,24833.0,11187.0,277.806771,95
9221,25108.0,11170.0,280.45636,95
9222,25392.0,11153.0,283.196976,95
9223,25686.0,11152.0,286.450272,95
9224,25982.0,11165.0,290.08903,95
9225,26281.0,11152.0,293.085712,95
9226,26588.0,11176.0,297.147488,95
9227,26908.0,11167.0,300.481636,95
9228,27230.0,11149.0,303.58727,95
9229,27565.0,11136.0,306.96384,95
9230,27905.0,11114.0,310.13617,95
9231,28247.0,11135.0,314.530345,95
9232,28971.0,11097.0,321.491187,95
9233,29353.0,11119.0,326.376007,95
9234,29737.0,11134.0,331.091758,95
9235,30126.0,11147.0,335.814522,95
9236,30533.0,11096.0,338.794168,95
9237,30939.0,11066.0,342.370974,95
9238,31375.0,11031.0,346.097625,95
9239,31817.0,11010.0,350.30517,95
9240,32270.000000000004,11034.0,356.06718,95
9241,32736.0,11064.0,362.191104,95
9242,33211.0,11068.0,367.579348,95
9243,33712.0,11048.0,372.450176,95
9244,34749.0,10966.0,381.057534,95
9245,35279.0,10926.0,385.458354,95
9246,35829.0,10903.0,390.643587,95
9247,36406.0,10895.0,396.64337,95
9248,37016.0,10885.0,402.91916,95
9249,37642.0,10909.0,410.636578,95
9250,38275.0,10898.0,417.12095,95
9251,38921.0,10861.0,422.720981,95
9252,39593.0,10774.0,426.574982,95
9253,40292.0,10684.0,430.479728,95
9254,41023.0,10561.0,433.243903,95
9255,41782.0,10550.0,440.8001,95
9256,42553.0,10545.0,448.721385,95
9257,44166.0,10216.0,451.199856,95
9258,44999.0,9781.0,440.135219,95
9259,45797.0,8919.0,408.463443,95
9260,46603.0,8000.0,372.824,95
9261,47417.0,7071.0,335.285607,95
9262,48269.0,6142.0,296.468198,95
9263,49152.0,5180.0,254.60736,95
9264,50062.0,4170.0,208.75854,95
9265,50995.0,3152.0,160.73624,95
9266,51459.0,1259.0,64.786881,95
9267,50630.0,2014.0,101.96882,96
9268,49822.0,2955.0,147.22401,96
9269,48037.0,474.0,22.769538,96
9270,47190.0,5657.0,266.95383,96
9271,46343.0,6455.0,299.144065,96
9272,45522.0,7155.0,325.70991,96
9273,44746.0,7950.0,355.7307,96
9274,43973.0,8718.0,383.356614,96
9275,43191.0,9198.0,397.270818,96
9276,42392.0,9320.0,395.09344,96
9277,41629.0,9422.0,392.228438,96
9278,40884.0,9458.0,386.680872,96
9279,40161.0,9481.0,380.766441,96
9280,39459.0,9557.0,377.109663,96
9281,38778.0,9595.0,372.07491,96
9282,37506.0,9713.0,364.295778,96
9283,35725.0,9738.0,347.89005,96
9284,34114.0,9775.0,333.46435,96
9285,33617.0,9826.0,330.320642,96
9286,32645.000000000004,9878.0,322.46731,96
9287,31724.0,9833.0,311.942092,96
9288,31293.0,9838.0,307.860534,96
9289,30451.0,9872.0,300.612272,96
9290,29649.0,9930.0,294.41457,96
9291,28903.0,9932.0,287.064596,96
9292,27830.0,9925.0,276.21275,96
9293,27495.0,9956.0,273.74022,96
9294,26848.0,9975.0,267.8088,96
9295,26527.0,9954.0,264.049758,96
9296,25915.0,9943.0,257.672845,96
9297,25339.0,9956.0,252.275084,96
9298,24780.0,9972.0,247.10616,97
9299,25062.0,9979.0,250.093698,97
9300,25340.0,9978.0,252.84252,97
9301,25626.0,9982.0,255.798732,97
9302,26219.0,9944.0,260.721736,97
9303,26528.0,9934.0,263.529152,97
9304,27165.0,9925.0,269.612625,97
9305,27836.0,9939.0,276.662004,97
9306,28185.0,9948.0,280.38438,97
9307,28536.0,9940.0,283.64784,97
9308,28900.0,9922.0,286.7458,97
9309,29268.0,9890.0,289.46052,97
9310,29644.0,9870.0,292.58628,97
9311,30041.0,9867.0,296.414547,97
9312,30453.0,9876.0,300.753828,97
